DATE,HNFSEPUSSA,HOUST1F,HSN1F,INTDSRUSM193N,LFACTTTTUSM657S,MSACSR,NA000334Q,NASDAQCOM,PERMIT,PERMIT1,QUSR628BIS,RSAHORUSQ156S,TTLCONS,UNRATE,Median Home Price (NSA),CPI-Adjusted Price,CSUSHPISA
12/1/2001,308,1285,979,1.33,0.045063783,3.8,2711715,1977.7105,1680,1251,105.6761,67.9,849689,5.7,148830.59,258601.36,116.455
1/1/2002,310,1318,880,1.25,-0.29243616,4.2,2631119,1976.768571,1665,1285,107.2219,67.9,858654,5.7,149291.93,258817.08,117.144
2/1/2002,313,1501,948,1.25,0.535157037,4,2631119,1799.718947,1787,1401,107.2219,67.9,862338,5.7,150147.34,259275.24,117.845
3/1/2002,316,1292,923,1.25,-0.118905242,4.1,2631119,1863.0455,1691,1289,107.2219,67.9,844551,5.7,151637.09,260383.27,118.687
4/1/2002,324,1277,936,1.25,0.168880337,4.3,2721842,1758.802273,1669,1285,108.8292,67.8,858240,5.9,152905.77,261101.48,119.611
5/1/2002,327,1402,978,1.25,0.147175678,4,2721842,1660.310909,1716,1289,108.8292,67.8,850935,5.8,154558.91,263924.38,120.724
6/1/2002,328,1368,957,1.25,-0.089693524,4.2,2721842,1505.4875,1758,1314,108.8292,67.8,846777,5.8,156067.88,266352.96,121.813
7/1/2002,333,1323,956,1.25,-0.003452848,4.2,2751463,1346.085455,1738,1307,111.1348,67.9,847129,5.8,157105.9,267826.74,122.888
8/1/2002,334,1247,1014,1.25,0.142262246,4,2751463,1327.360455,1695,1317,111.1348,67.9,839008,5.7,157970.92,268407.19,123.83
9/1/2002,333,1446,1044,1.25,0.374459516,3.9,2751463,1251.069,1803,1366,111.1348,67.9,832134,5.7,158653.32,269119.86,124.78
10/1/2002,335,1352,1006,1.25,-0.163515445,4,2824686,1241.911739,1799,1382,113.0461,68.2,839690,5.7,159354.94,269862.71,125.735
11/1/2002,338,1394,1024,0.83,-0.187869028,4,2824686,1409.1515,1771,1382,113.0461,68.2,844697,5.9,159729.78,270497.49,126.67
12/1/2002,339,1439,1048,0.75,0.017236506,4,2824686,1387.151905,1896,1409,113.0461,68.2,855921,6,160383.35,272204.86,127.624
1/1/2003,341,1537,999,2.25,0.600416362,4,2743734,1389.559524,1808,1416,114.1698,68.1,863855,5.8,160883.13,271850.87,128.461
2/1/2003,341,1301,936,2.25,0.111692031,4.5,2743734,1313.261579,1854,1357,114.1698,68.1,859225,5.9,161921.15,271512.85,129.355
3/1/2003,338,1399,999,2.25,-0.05338809,4.1,2743734,1348.50381,1757,1359,114.1698,68.1,851132,5.9,163045.67,271765.8,130.148
4/1/2003,340,1374,1012,2.25,0.309542398,4.1,2831413,1409.830952,1803,1391,116.2112,68.2,859459,6,164583.47,274926.03,130.884
5/1/2003,343,1391,1078,2.25,0.017750591,3.9,2831413,1524.182857,1835,1389,116.2112,68.2,866814,6.1,166198.17,278077.16,131.735
